date,quiz_id,quiz_title,count
2026-06-12,quiz_100,What Taylor Swift-Aligned Reaction Style Matches Your Inner Tendencies?,0
2026-06-12,quiz_101,What’s your Wilderkind Personality?,0
2026-06-12,quiz_102,What’s Your Future Taylor Swift-Inspired Life Path?,0
2026-06-12,quiz_103,What Fortnite Playstyle Personality Are You?,0
2026-06-12,quiz_105,Which Roblox Character Is Your Perfect Match?,0
2026-06-12,quiz_106,Which Roblox Player Archetype Are You?,0
2026-06-12,quiz_107,What Roblox Playstyle Type Are You?,0
2026-06-12,quiz_108,How Roblox-Obsessed Are You?,0
2026-06-12,quiz_109,What’s your hidden Roblox personality type?,0
2026-06-12,quiz_110,What Roblox Adventure Type Are You?,0
2026-06-12,quiz_111,What Roblox Playstyle Type Are You?,0
2026-06-12,quiz_112,What’s Your Future Roblox Adventure Type?,0
2026-06-12,quiz_113,Which Minecraft Companion Is Your Ideal Soulmate?,0
2026-06-12,quiz_114,What Minecraft Player Type Are You?,0
2026-06-12,quiz_115,How Minecraft-Aligned Are You?,0
2026-06-12,quiz_116,What’s Your Hidden Minecraft Inner Personality Type?,0
2026-06-12,quiz_117,What Minecraft Playstyle Type Are You?,0
2026-06-12,quiz_118,What Minecraft Playstyle Type Are You?,0
2026-06-12,quiz_119,What’s Your Future Minecraft Life Path?,0
2026-06-12,quiz_120,Which Fortnite Character Is Your Perfect Soulmate Match?,0
2026-06-12,quiz_121,Which Fortnite Character Matches Your Personality?,0
2026-06-12,quiz_122,What Fortnite Type Are You?,0
2026-06-12,quiz_123,How Much Do You Embody Fortnite's Core Vibes?,0
2026-06-12,quiz_124,What’s your Hidden Fortnite Trait Type?,0
2026-06-12,quiz_125,What Would You Do in Fortnite? Uncover Your Hidden Gaming Personality?,0
2026-06-12,quiz_126,What Fortnite Playstyle Type Are You?,0
2026-06-12,quiz_127,What’s Your Future Fortnite Battle Role?,0
2026-06-12,quiz_128,Which Brawl Stars Brawler Is Your Ideal Battle Partner?,0
2026-06-12,quiz_129,Which Brawl Stars Brawler Matches Your Personality?,0
2026-06-12,quiz_130,What Brawl Stars Type Are You?,0
2026-06-12,quiz_131,How Brawl Stars Obsessed Are You?,0
2026-06-12,quiz_132,What’s your hidden Brawl Stars trait?,0
2026-06-12,quiz_133,What Would You Do in Brawl Stars? Uncover Your Hidden Playstyle,0
2026-06-12,quiz_134,Which Brawl Stars Brawler Matches Your Personality?,0
2026-06-12,quiz_135,What Brawl Stars Battle Role Will You Dominate in the Future?,0
2026-06-12,quiz_136,Which Genshin Impact Character Is Your Perfect Soulmate?,0
2026-06-12,quiz_137,What Genshin Impact Character Type Are You?,0
2026-06-12,quiz_138,What Genshin Impact Personality Type Are You?,0
2026-06-12,quiz_139,How Well Do You Match Genshin Impact's Core Vibes?,0
2026-06-12,quiz_140,What Genshin Impact Decision-Making Type Are You?,0
2026-06-12,quiz_141,What Genshin Impact Adventure Type Are You?,0
2026-06-12,quiz_142,What Genshin Impact Future Quest Are You Destined For?,0
2026-06-12,quiz_143,Which Honkai: Star Rail Character Is Your Perfect Soulmate?,0
2026-06-12,quiz_144,Which Honkai: Star Rail Character Are You?,0
2026-06-12,quiz_145,What Honkai: Star Rail Wanderer Type Are You?,0
2026-06-12,quiz_146,How Strong Is Your Honkai: Star Rail Trailblazer Spirit?,0
2026-06-12,quiz_147,What Hidden Honkai: Star Rail Trait Type Are You?,0
2026-06-12,quiz_148,What Would You Do in Honkai: Star Rail's Critical Moments?,0
2026-06-12,quiz_149,What Honkai: Star Rail Aesthetic Type Are You?,0
2026-06-12,quiz_150,What Will Your Honkai: Star Rail Future Adventure Hold?,0
2026-06-12,quiz_151,What Valorant Agent Type Are You?,0
2026-06-12,quiz_152,How Ice Spice Are You?,0
2026-06-12,quiz_153,How Dua Lipa-Esque Are You?,0
2026-06-12,quiz_154,Which Dua Lipa Vibe Do You Have?,0
2026-06-12,quiz_155,How Billie Eilish-Coded Are You?,0
2026-06-12,quiz_156,What’s Your Hidden Billie Eilish-Aligned Trait?,0
2026-06-12,quiz_157,What Lana Del Rey Type Are You?,0
2026-06-12,quiz_158,What Wednesday Aesthetic Personality Type Are You?,0
2026-06-12,quiz_159,What Wednesday Aesthetic Personality Type Are You?,0
2026-06-12,quiz_160,Which Yellowjackets Character Type Are You?,0
2026-06-12,quiz_161,What Would You Do in the Yellowjackets Wilderness?,0
2026-06-12,quiz_162,What’s Your Yellowjackets-Inspired Future Survival Destiny?,0
2026-06-12,quiz_163,Which Stranger Things Character Are You?,0
2026-06-12,quiz_164,Which BLACKPINK Member Is Your Perfect Match?,0
2026-06-12,quiz_165,Which BLACKPINK Personality Are You?,0
2026-06-12,quiz_166,Which BLACKPINK Member's Energy Matches Your Personality?,0
2026-06-12,quiz_167,How BLACKPINK Are You? Uncover Your K-pop Star Essence,0
2026-06-12,quiz_168,What's Your Hidden Trait Inspired by BLACKPINK?,0
2026-06-12,quiz_169,What Would You Do? Discover Your BLACKPINK Personality,0
2026-06-12,quiz_170,Which BLACKPINK Vibe Matches Your Personality?,0
2026-06-12,quiz_171,Which Harry Potter Character Is Your Soulmate?,0
2026-06-12,quiz_172,Which Harry Potter Character Are You?,0
2026-06-12,quiz_173,Which Harry Potter Character Matches Your Personality?,0
2026-06-12,quiz_174,What's Your Hidden Harry Potter Trait?,0
2026-06-12,quiz_175,What Would Your Harry Potter Persona Be?,0
2026-06-12,quiz_176,Which Harry Potter Character Matches Your Personality?,0
2026-06-12,quiz_177,Which Travel Personality Are You?,0
2026-06-12,quiz_178,Which Travel Style Matches Your Personality?,0
2026-06-12,quiz_179,How Adventurous Are You in Travel?,0
2026-06-12,quiz_180,What's Your Hidden Travel Personality Trait?,0
2026-06-12,quiz_181,What Would You Do: Your Travel Personality,0
2026-06-12,quiz_182,Which Travel Style Matches Your Personality?,0
2026-06-12,quiz_183,Which Disney Character Is Your Perfect Soulmate?,0
2026-06-12,quiz_184,Which Disney Character Are You?,0
2026-06-12,quiz_185,Which Disney Character Type Are You?,0
2026-06-12,quiz_186,How Disney Are You?,0
2026-06-12,quiz_187,What's Your Disney Personality?,0
2026-06-12,quiz_188,Which Marvel Character Is Your Perfect Soulmate?,0
2026-06-12,quiz_189,Which Marvel Superhero Matches Your Personality?,0
2026-06-12,quiz_190,Which Marvel Superhero Matches Your Personality?,0
2026-06-12,quiz_191,How Heroic Are You in the Marvel Universe?,0
2026-06-12,quiz_192,Discover Your Hidden Marvel Trait,0
2026-06-12,quiz_193,What Would You Do: Marvel Hero Instinct,0
2026-06-12,quiz_194,Which Career Path Matches Your Personality?,0
2026-06-12,quiz_195,What's Your Career Personality Type?,0
2026-06-12,quiz_196,How Career-Mature Are You?,0
2026-06-12,quiz_197,What's Your Hidden Career Trait?,0
2026-06-12,quiz_198,Your Future Career: What Path Awaits You?,0
2026-06-12,quiz_199,Which Food Matches Your Personality?,0
2026-06-12,quiz_200,Which Food Personality Type Are You?,0
2026-06-12,quiz_201,How Food-Obsessed Are You?,0
2026-06-12,quiz_202,Discover Your Hidden Food Personality Trait,0
2026-06-12,quiz_203,Which Love Language Type Are You?,0
2026-06-12,quiz_204,What's Your Hidden Love Language Trait?,0
2026-06-12,quiz_205,Which Mythical Creature Matches Your Personality?,0
2026-06-12,quiz_223,Which 2026 World Cup soul matches yours?,0
2026-06-12,quiz_224,What's your 2026 World Cup personality type?,0
2026-06-12,quiz_225,What would you do in the 2026 World Cup world?,0
2026-06-12,quiz_25,Which Taylor Swift Era Matches Your Personality?,0
2026-06-12,quiz_26,What's Your ChatGPT Personality Type?,0
2026-06-12,quiz_27,Which SZA Song Matches Your Personality?,0
2026-06-12,quiz_28,How Romantic Are You?,0
2026-06-12,quiz_36,What’s Your Stardew Valley Farmer Type?,0
2026-06-12,quiz_37,Which Olivia Rodrigo Vibe Matches Your Inner Self?,0
2026-06-12,quiz_38,What Olivia Rodrigo-Inspired Personality Archetype Are You?,0
2026-06-12,quiz_39,What’s Your Olivia Rodrigo Core Personality Type?,0
2026-06-12,quiz_40,What’s your hidden Olivia Rodrigo-inspired inner trait?,0
2026-06-12,quiz_41,What Would You Do in Olivia Rodrigo’s Defining Moments?,0
2026-06-12,quiz_42,What Olivia Rodrigo-Aligned Personality Type Are You?,0
2026-06-12,quiz_43,What’s Your Olivia Rodrigo-Inspired Future Creative Life Path?,0
2026-06-12,quiz_44,What Taylor Swift-Inspired Personality Type Are You?,0
2026-06-12,quiz_45,Which Euphoria Character Is Your Perfect Soulmate?,0
2026-06-12,quiz_46,Which Euphoria Character Are You?,0
2026-06-12,quiz_47,What’s Your Euphoria Aesthetic Personality?,0
2026-06-12,quiz_48,How Euphoria-Resonant Is Your Inner World?,0
2026-06-12,quiz_49,What Hidden Euphoria Core Trait Lurks Beneath Your Surface?,0
